Year,Series,concept.REF_AREA,concept.COMPOSITE_BREAKDOWN,Value
2015,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000014,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,4
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000014,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,11
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000014,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,27
2015,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000014,,4
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000014,,23
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000014,,73
2015,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000015,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,2
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000015,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,2
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000015,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,2
2015,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000015,,2
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000015,,7
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000015,,3
2016,CL_SERIES.VC_DSR_MORT,,CL_COMP_BREAKDOWN.HZT_FIREX,70
2017,CL_SERIES.VC_DSR_MORT,,CL_COMP_BREAKDOWN.HZT_FIREX,67
2016,CL_SERIES.VC_DSR_MORT,,CL_COMP_BREAKDOWN.HZT_FLOOD,77
2017,CL_SERIES.VC_DSR_MORT,,CL_COMP_BREAKDOWN.HZT_FLOOD,21
2016,CL_SERIES.VC_DSR_MORT,,CL_COMP_BREAKDOWN.HZT_STORM,54
2017,CL_SERIES.VC_DSR_MORT,,CL_COMP_BREAKDOWN.HZT_STORM,34
2016,CL_SERIES.VC_DSR_MORT,,CL_COMP_BREAKDOWN.HZT_ERQAK,3
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000001,CL_COMP_BREAKDOWN.HZT_FIREX,6
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000001,CL_COMP_BREAKDOWN.HZT_FIREX,1
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000001,CL_COMP_BREAKDOWN.HZT_FLOOD,15
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000001,CL_COMP_BREAKDOWN.HZT_FLOOD,3
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000001,CL_COMP_BREAKDOWN.HZT_STORM,2
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000001,CL_COMP_BREAKDOWN.HZT_STORM,3
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000001,CL_COMP_BREAKDOWN.HZT_OTHER,7
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000001,CL_COMP_BREAKDOWN.HZT_OTHER,13
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000002,CL_COMP_BREAKDOWN.HZT_STORM,1
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000002,CL_COMP_BREAKDOWN.HZT_STORM,1
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000003,CL_COMP_BREAKDOWN.HZT_LNDSL,4
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000004,CL_COMP_BREAKDOWN.HZT_FIREX,7
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000004,CL_COMP_BREAKDOWN.HZT_FIREX,4
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000004,CL_COMP_BREAKDOWN.HZT_FLOOD,2
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000004,CL_COMP_BREAKDOWN.HZT_FLOOD,3
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000005,CL_COMP_BREAKDOWN.HZT_FLOOD,9
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000005,CL_COMP_BREAKDOWN.HZT_FLOOD,2
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000005,CL_COMP_BREAKDOWN.HZT_STORM,13
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000005,CL_COMP_BREAKDOWN.HZT_STORM,5
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000006,CL_COMP_BREAKDOWN.HZT_FIREX,1
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000006,CL_COMP_BREAKDOWN.HZT_FIREX,2
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000006,CL_COMP_BREAKDOWN.HZT_FLOOD,3
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000006,CL_COMP_BREAKDOWN.HZT_STORM,2
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000006,CL_COMP_BREAKDOWN.HZT_STORM,5
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000006,CL_COMP_BREAKDOWN.HZT_OTHER,2
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000006,CL_COMP_BREAKDOWN.HZT_OTHER,124
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000007,CL_COMP_BREAKDOWN.HZT_FIREX,2
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000007,CL_COMP_BREAKDOWN.HZT_FIREX,11
