Year,concept.REF_AREA,concept.COMPOSITE_BREAKDOWN,Value
2016,CL_REF_AREA.GA1000009,CL_COMP_BREAKDOWN.HZT_CNFLCT,1
2015,CL_REF_AREA.GA1000009,,88
2016,CL_REF_AREA.GA1000009,,87
2017,CL_REF_AREA.GA1000009,,118
2015,CL_REF_AREA.GA1000010,CL_COMP_BREAKDOWN.HZT_FIREX,10
2016,CL_REF_AREA.GA1000010,CL_COMP_BREAKDOWN.HZT_FIREX,28
2017,CL_REF_AREA.GA1000010,CL_COMP_BREAKDOWN.HZT_FIREX,32
2015,CL_REF_AREA.GA1000010,CL_COMP_BREAKDOWN.HZT_FLOOD,3
2016,CL_REF_AREA.GA1000010,CL_COMP_BREAKDOWN.HZT_FLOOD,1
2017,CL_REF_AREA.GA1000010,CL_COMP_BREAKDOWN.HZT_FLOOD,3
2015,CL_REF_AREA.GA1000010,CL_COMP_BREAKDOWN.HZT_STORM,5
2016,CL_REF_AREA.GA1000010,CL_COMP_BREAKDOWN.HZT_STORM,7
2017,CL_REF_AREA.GA1000010,CL_COMP_BREAKDOWN.HZT_STORM,13
2015,CL_REF_AREA.GA1000010,,18
2016,CL_REF_AREA.GA1000010,,40
2017,CL_REF_AREA.GA1000010,,59
2015,CL_REF_AREA.GA1000011,CL_COMP_BREAKDOWN.HZT_FIREX,22
2016,CL_REF_AREA.GA1000011,CL_COMP_BREAKDOWN.HZT_FIREX,33
2017,CL_REF_AREA.GA1000011,CL_COMP_BREAKDOWN.HZT_FIREX,35
2015,CL_REF_AREA.GA1000011,CL_COMP_BREAKDOWN.HZT_FLOOD,15
2016,CL_REF_AREA.GA1000011,CL_COMP_BREAKDOWN.HZT_FLOOD,15
2017,CL_REF_AREA.GA1000011,CL_COMP_BREAKDOWN.HZT_FLOOD,3
2015,CL_REF_AREA.GA1000011,CL_COMP_BREAKDOWN.HZT_STORM,7
2016,CL_REF_AREA.GA1000011,CL_COMP_BREAKDOWN.HZT_STORM,23
2017,CL_REF_AREA.GA1000011,CL_COMP_BREAKDOWN.HZT_STORM,53
2015,CL_REF_AREA.GA1000011,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,2
2016,CL_REF_AREA.GA1000011,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,4
2017,CL_REF_AREA.GA1000011,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,6
2015,CL_REF_AREA.GA1000011,CL_COMP_BREAKDOWN.HZT_CNFLCT,2
2016,CL_REF_AREA.GA1000011,CL_COMP_BREAKDOWN.HZT_CNFLCT,1
2017,CL_REF_AREA.GA1000011,CL_COMP_BREAKDOWN.HZT_CNFLCT,2
2015,CL_REF_AREA.GA1000011,,48
2016,CL_REF_AREA.GA1000011,,88
2017,CL_REF_AREA.GA1000011,,125
